id,title,external_id,overview,vote_average,poster_path
224,The Boy Who Killed My Parents,800305,"Based on one of the most shocking and gruesome murder cases in Brazil, the film presents de Suzane von Richthofen's point of view of the events that led to the death of her parents.",6,/h9onDM7U8KCv2nXQNCCayuGzt4z.jpg
228,The Last Airbender,10196,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",4,/zgwRTYWEEPivTwjB9S03HtmMcbM.jpg
232,Abraham Lincoln: Vampire Hunter,72331,"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",5,/5dTZylzoBV9qsrub9vYLAZrNkX3.jpg
238,Brothers by Blood,592656,"Peter and Michael, raised on the streets of Philadelphia, are the children of Irish mob members, forever linked by the crimes of their fathers. 30 years later, Michael now runs the criminal organization and lusts for more power, his dangerous antics frequently held in check by his cautious cousin Peter. Haunted by the death of his sister, whose passing destroyed both his parents, Peter is caught between the dreams of childhood and the realities of his life as an enforcer. His only reprieve is a local boxing gym, a sanctuary that is quickly threatened as Michael’s desire for control escalates.",6,/2RKGUCbo2R6IDsufxApL6nRFL4j.jpg
244,Real Steel,39254,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",6,/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg
250,The Hangover,18785,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",7,/wTt2BoyAGhr0M00eR1ewVZyQoUq.jpg
253,The Conjuring,138843,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",7,/wVYREutTvI2tmxr6ujrHT704wGF.jpg
256,Clash of the Titans,18823,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",5,/6iHYLipwEyZUPNO8MM3l1yHDaFE.jpg
265,Jonah Hex,20533,"Gunslinger Jonah Hex is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull, a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task, he also gets revenge on the man who slayed his wife and child.",4,/1MpWjcCn8M0763QDoxcN0gXrc5q.jpg
267,Monstruosamente Solo,272818,"Santiago is contained in the micro-universe of his home due to a deep depression after his girlfriend left him for no apparent reason. That is when he realizes that even though he wants to live his duel alone, his friends accompany him through video chats, telephone calls or visits right at  his door.",5,/yopdxvdSIEflWdEe3Ufj6DZ1yAH.jpg
274,Outside the Wire,775996,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",6,/6XYLiMxHAaCsoyrVo38LBWMw2p8.jpg
279,Crisis,580532,"Three stories about the world of opioids collide: a drug trafficker arranges a multi-cartel Fentanyl smuggling operation between Canada and the U.S., an architect recovering from an OxyContin addiction tracks down the truth behind her son's involvement with narcotics, and a university professor battles unexpected revelations about his research employer, a drug company with deep government influence bringing a new ""non-addictive"" painkiller to market.",6,/15e2VcMTtk3pqgGlHWxisvygFAw.jpg
281,V/H/S/94,753453,A mysterious VHS tape leads a police S.W.A.T. team to the discovery of a sinister cult whose collection of pre-recorded material reveals a nightmarish conspiracy.,6,/9fSogEkqDfJQTuGHsTFloQz3Tw8.jpg
289,Prey,853588,,4,/6D7nfhHI7b9ZvW3m7wVMtBSbC9U.jpg
293,"Monsters, Inc.",585,"James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they're more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.",7,/sgheSKxZkttIe8ONsf2sWXPgip3.jpg
297,Safer at Home,792657,"Two years into the pandemic, a group of friends throw an online party with a night of games, drinking and drugs. After taking an ecstasy pill, things go terribly wrong and the safety of their home becomes more terrifying than the raging chaos outside.",5,/2mfnSVdDartB6TJ3k7Qyn0zMzKu.jpg
300,Forever Rich,785527,"This is the story of Richie and his journey to become the greatest rap-artist in the Netherlands. One evening he is violently mugged by a group of teenagers and loses his most prized possession: an expensive watch. When images of the humiliating robbery go viral, Richie's hard-earned reputation is damaged.",5,/vRbX9sTiZheczEtNfjAi0bhHPAn.jpg
197,Host,723072,"Six friends hire a medium to hold a séance via Zoom during lockdown — but they get far more than they bargained for as things quickly go wrong. When an evil spirit starts invading their homes, they begin to realize they might not survive the night.",6,/h7dZpJDORYs5c56dydbrLFkEXpE.jpg
203,The Maze Runner,198663,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",7,/ode14q7WtDugFDp78fo9lCsmay9.jpg
208,Project X,57214,"Three high school seniors throw a party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",6,/lUPDGT3lyRrq8SvWuNWG2DP64bR.jpg
215,Cirque du Freak: The Vampire's Assistant,24418,"Darren Shan is a regular teenage kid. He and his friend Steve find out about a Freak Show coming to town and work hard at trying to find tickets. They do, and together they go to ""Cirque du Freak"" where they see many strange acts including a wolf-man and a bearded lady",5,/3Z2f50SKyHMWLLFH8OsV6hFoKLF.jpg
218,Willy's Wonderland,643586,"When his car breaks down, a quiet loner agrees to clean an abandoned family fun center in exchange for repairs. He soon finds himself waging war against possessed animatronic mascots while trapped inside Willy's Wonderland.",6,/keEnkeAvifw8NSEC4f6WsqeLJgF.jpg
225,Bingo Hell,802226,"In the Barrio of Oak Springs live a strong and stubborn group of elderly friends who refuse to be gentrified. Their leader, Lupita, keeps them together as a community, a family. But little did they know, their beloved Bingo hall is about to be sold to a much more powerful force than money itself.",5,/86VKuiaox9eVJTETel0ld7XZtiO.jpg
227,PAW Patrol: Jet to the Rescue,743439,"Get ready to zoom back to Barkingburg with the pups in this all-new TV movie! When the scheming DUKE of Flappington steals a powerful levitation gem from the royal castle, it’s up to the PAW Patrol to jet to the rescue before the town is lost forever! Then join the PAW Patrol in even more high-flying adventures where they will save a stunt pilot, one of Mayor Humdinger’s kittens, and even Skye when she breaks her wing flying to Jake’s Mountain!",6,/qHcn3PbjVHxBweDZxWpYH3JfugS.jpg
234,Terminator Salvation,534,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",6,/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg
237,Skylines,560144,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",5,/2W4ZvACURDyhiNnSIaFPHfNbny3.jpg
242,Those Who Wish Me Dead,578701,"A young boy finds himself pursued by two assassins in the Montana wilderness, with a survival expert determined to protect him, and a forest fire threatening to consume them all.",7,/xCEg6KowNISWvMh8GvPSxtdf9TO.jpg
248,Earwig and the Witch,683127,A headstrong orphan discovers a world of spells and potions while living with a selfish witch.,6,/86jyzdxtAX8p956rVQDKwGbrYh2.jpg
251,Jackie Chan Kung Fu Master,45682,"Jackie Chan is the undefeated Kung Fu Master who dishes out the action in traditional Jackie Chan style. When a young boy sets out to learn how to fight from the Master himself, he not only witnesses some spectacular fights, but learns some important life lessons along the way.",4,/ds8xP7319zuPMa09kxzkIPBsHVL.jpg
255,That's My Boy,87428,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",5,/bwJG8C1alb3a2V7DS0cNPszlob7.jpg
259,Zack and Miri Make a Porno,10358,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",6,/40qxr2p2s297Q1mWFJOsRatQPK0.jpg
260,The Kissing Booth 3,727745,"It’s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not.",7,/c7xcqnMDVQ5v1hJBm3AZ5YikNe6.jpg
261,The Ogglies: Welcome to Smelliville,805051,"The Oggly family arrive at the municipal rubbish dump of Smelliville and must look for a new home, but they never feel really welcome anywhere. They stink and are for most humans just a tad too oggly. When Firebottom, the family dragon, crash-lands on the run-down rubbish tip of the small town of Smelliville, the Ogglies at once feel at home. And it's here they want to stay.",7,/w7PJ7fBEYOuaAMKfYa4zmw45v3N.jpg
266,The Hobbit: The Battle of the Five Armies,122917,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",7,/xT98tLqatZPQApyRmlPL12LtiWp.jpg
275,Teenage Mutant Ninja Turtles,98566,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",5,/azL2ThbJMIkts3ZMt3j1YgBUeDB.jpg
278,Batman: Death in the Family,618353,Tragedy strikes the Batman's life again when Robin Jason Todd tracks down his birth mother only to run afoul of the Joker. An adaptation of the 1988 comic book storyline of the same name.,7,/k8Q9ulyRE8fkvZMkAM9LPYMKctb.jpg
280,My Hero Academia: World Heroes' Mission,768744,"A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations, that power will bring forth the end of humanity. In order to save everyone, the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-classic selected hero team. It is up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academy.",7,/4NUzcKtYPKkfTwKsLjwNt8nRIXV.jpg
198,Harry Potter and the Half-Blood Prince,767,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",7,/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg
200,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,532067,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",8,/j73LuQcA21KvkVFcroWWMN8tTJv.jpg
201,Justin Bieber: Our World,871858,"After a three-year hiatus from a full performance, and with concert venues shut down due to the pandemic, Bieber delivers an electrifying show to close out 2020 on the rooftop of the Beverly Hilton Hotel for 240 invited guests—and millions of fans across the globe watching via livestream. The film follows Bieber and his close-knit team in the month leading up to the show, as they rehearse and construct a monumental stage while adhering to strict health and safety protocols. The film also captures personal, self-shot moments between Bieber and his wife Hailey.",8,/6pw0hMLsvbWfZQXQorIdGUnLApl.jpg
210,Hotel Transylvania 3: Summer Vacation,400155,"Dracula, Mavis, Johnny and the rest of the Drac Pack take a vacation on a luxury Monster Cruise Ship, where Dracula falls in love with the ship’s captain, Ericka, who’s secretly a descendant of Abraham Van Helsing, the notorious monster slayer.",6,/o7RY5zNHdH2heGS1hET2Rt6hZOe.jpg
213,Dreamcatcher,793002,"The film centers on two estranged sisters who, along with their friends, become entrenched in a 48 hour whirlwind of violence after a traumatic experience at an underground music festival.",6,/3CF743g2BpC8r3mCVV9gSX2yQBj.jpg
219,Chaos Walking,412656,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",6,/9kg73Mg8WJKlB9Y2SAJzeDKAnuB.jpg
222,No Sudden Move,649409,A group of criminals are brought together under mysterious circumstances and have to work together to uncover what's really going on when their simple job goes completely sideways.,6,/34BmdJkdvRweC3xJJFlOFQ2IbYc.jpg
230,Once Upon a Snowman,741074,"The previously untold origins of Olaf, the innocent and insightful, summer-loving snowman are revealed as we follow Olaf’s first steps as he comes to life and searches for his identity in the snowy mountains outside Arendelle.",6,/hddzYJtfYYeMDOQVcH58n8m1W3A.jpg
233,Rascal Does Not Dream of a Dreaming Girl,572154,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",8,/pvdBzHOWjrLl69lUswPiVnI8szv.jpg
236,The Girl Who Killed Her Parents,608804,"Based on one of the most shocking and gruesome murder cases in Brazil, the film presents Daniel Cravinhos's point of view of the events that led to the death of Marísia and Manfred von Richthofen, his girlfriend’s parents.",6,/7gqZyGlLjNKXIk8RBswqAGJygVz.jpg
243,Law Abiding Citizen,22803,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free. He targets not only the killer but also the district attorney and others involved in the deal.,7,/fcEXcip7v0O1ndV4VUdFqJSqbOg.jpg
247,The Nightmare Before Christmas,9479,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",7,/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg
252,Public Enemies,11322,"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",6,/ezFQaPf4cOEfsl39Me0gSV29d7V.jpg
258,Wrong Turn,630586,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",6,/4U1SBHmwHkNA0eHZ2n1CuiC1K1g.jpg
263,Girl in the Basement,801335,"Sara is a teen girl who is looking forward to her 18th birthday to move away from her controlling father Don. But before she could even blow out the candles, Don imprisons her in the basement of their home.",8,/qmddUxRwbsxHa7oEXm4PWh1KZe8.jpg
270,Demon Slayer: Kimetsu no Yaiba Sibling's Bond,820232,"Tanjiro finds his family slaughtered and the lone survivor, his sister Nezuko Kamado, turned into a Demon. To his surprise, however, Nezuko still shows signs of human emotion and thought. Thus begins Tanjiro's journey to seek out the Demon who killed their family and turn his sister human again. A recap film of Kimetsu no Yaiba, covering episodes 1-5 with extra footage.",9,/vIwQ2PAnrLQtYJBtqnXHpjikMXa.jpg
272,Inception,27205,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8,/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg
199,Pretty Guardian Sailor Moon Eternal The Movie Part 2,784500,"While under the care of the Outer Sailor Guardians, Hotaru begins to age rapidly. Then, the time comes for all the Sailor Guardians to reunite!",8,/f91rtk8dODezNLT3grQrELyzFwA.jpg
202,Trollhunters: Rise of the Titans,730840,"Arcadia may look like an ordinary town, but it lies at the center of magical and mystical lines that makes it a nexus for many battles among otherworldly creatures, including trolls, aliens, and wizards. Now, various heroes will team-up in an epic adventure where they must fight the Arcane Order for control over the magic that binds them all together.",8,/zvUNFeTz0Sssb210wSiIiHRjA4W.jpg
206,Evangelion: 3.0+1.0 Thrice Upon a Time,283566,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka, and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each of them live a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",8,/jDwZavHo99JtGsCyRzp4epeeBHx.jpg
214,Stay Out of the Attic,787009,"A diverse group of ex-cons-turned-movers are convinced by their creepy client, Vern Muller, to pull an all-nighter for a generous pay bump.  As the night progresses and rooms are cleared, they slowly uncover the horrors that exist inside his old Victorian mansion, which include boobytraps, human experimentation, Nazi monsters and more. Will they survive the night?",5,/kEKQjLYZiIy78eEiMrtBfqSm3LU.jpg
217,Sex and the City,4564,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,6,/77tIJpDUV5maRnmAUnxT1bzz1Zp.jpg
220,It Chapter Two,474350,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call.",6,/zfE0R94v1E8cuKAerbskfD3VfUt.jpg
221,The New Mutants,340102,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",6,/xZNw9xxtwbEf25NYoz52KdbXHPM.jpg
229,"Batman: The Long Halloween, Part Two",736074,"As Gotham City's young vigilante, the Batman, struggles to pursue a brutal serial killer, district attorney Harvey Dent gets caught in a feud involving the criminal family of the Falcones.",7,/5X1n5q08mZ7NpNpxehMFODxfNYq.jpg
231,Harry Potter and the Deathly Hallows: Part 1,12444,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",7,/f1geQ0I9UETRF1ed30voZfw8zT.jpg
239,Spider-Man: Into the Spider-Verse,324857,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",8,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
240,TEKKEN,42194,"In the year of 2039, after World Wars destroy much of the civilization as we know it, territories are no longer run by governments, but by corporations; the mightiest of which is the Mishima Zaibatsu. In order to placate the seething masses of this dystopia, Mishima sponsors Tekken, a tournament in which fighters battle until only one is left standing.",5,/1xO2LirDZstkqZic1FwfK6GJIHH.jpg
241,Deadpool,293660,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",7,/fSRb7vyIP8rQpL0I47P3qUsEKX3.jpg
246,The Mad Women's Ball,680531,"Eugenie has a unique gift: she hears and sees the dead. When her family discovers her secret, at the end of the 19th century, she is taken by her father and brother to the neurological clinic at La Pitié Salpêtrière with no possibility of escaping her fate. Her destiny becomes entwined with that of Geneviève, a nurse at the hospital.",7,/A8KeSPmFDxqHKwNzyiuwUvPIrw0.jpg
264,2012,14161,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",5,/8i1xFqcItT6GKEbY6VDbFnxe7sJ.jpg
268,The Night House,547565,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets.",6,/rqs2CXpc4d5FzeP1EZCYItAVo81.jpg
271,The Karate Kid,38575,"Twelve-year-old Dre Parker could have been the most popular kid in Detroit, but his mother's latest career move has landed him in China. Dre immediately falls for his classmate Mei Ying but the cultural differences make such a friendship impossible. Even worse, Dre's feelings make him an enemy of the class bully, Cheng. With no friends in a strange land, Dre has nowhere to turn but maintenance man Mr. Han, who is a kung fu master. As Han teaches Dre that kung fu is not about punches and parries, but maturity and calm, Dre realizes that facing down the bullies will be the fight of his life.",6,/tAMQREOoztvluqrfHiGHFVfB04B.jpg
285,Coraline,14836,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.",7,/gPMh5rsVrDDAYMDbTcz6Up1DQ4z.jpg
288,Predators,34851,A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.,6,/gsnUhWMYLSD8VZS7nrMT9mj9BYr.jpg
204,Harry Potter and the Deathly Hallows: Part 2,12445,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",8,/da22ZBmrDOXOCDRvr8Gic8ldhv4.jpg
207,Seven Deadly Sins: Lust,817772,"Tiffanie (Keri Hilson) is about to have the wedding of her dreams to her soul mate, the dashing Damon King (Tobias Truvillion), founder of King Enterprises. But when Damon’s old friend Trey (Durrell ‘Tank’ Babbs) arrives, fresh from prison to step in as Damon’s best man, Tiffanie’s whole world gets rocked. Sexy and mysterious, Trey triggers a passion in Tiffanie that she never expected, and suddenly the life she’s always planned with Damon is uncertain. But Trey still carries wounds from his history with Damon, and his intentions toward both Tiffanie and Damon are not to be trusted. Ms. Juicy, LeToya Luckett, and Clifton Powell also star.",2,/gbUQKTRxXEX2dFd483TpE5kpu5Z.jpg
211,The King of Fighters,44571,"The King of Fighters movie will introduce a new science fiction spin into the setting established in the games universe by following the surviving members of three legendary fighting clans who are continually whisked away to other dimensions by an evil power. As the fighters enter each new world they battle that universes native defenders, while the force that brought them seeks to find a way to invade and infect our world.",4,/qDI6PbIjeEdLUoPHGaZqDMV9Fdx.jpg
216,Spider-Man,557,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",7,/fwoETElxZqiF3it8F4HitSliXqp.jpg
223,Insensate,779202,"A woman tries to help her twin sister, with whom she has a strong connection, recover from a trauma. But weird things surround their lives.",6,/oYlAnaH1dClevLyKl5hkNqZeKib.jpg
226,The Voyeurs,645710,"A young couple, find themselves becoming interested in the sex life of their neighbors across the street. What starts as an innocent curiosity turns into an unhealthy obsession.",6,/8Y4XOIWhpOvSOEn8XrxbkH9yAXO.jpg
235,Avengers: Age of Ultron,99861,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",7,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg
245,Cell 211,33273,"The story of two men on different sides of a prison riot -- the inmate leading the rebellion and the young guard trapped in the revolt, who poses as a prisoner in a desperate attempt to survive the ordeal.",7,/koap5B3bQHQi3yaZ39vpWR66TGP.jpg
249,Pacific Rim,68726,"A ragtag band of humans band together in the year 2025 to fight legions of monstrous creatures rising from the sea. Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes -- a washed up former pilot and an untested trainee -- who now stand as earth's final hope against the mounting apocalypse.",6,/mmznhaQDwlHWpUwKuNxtQiubbmM.jpg
254,Venom,204973,"After a car breaks down in an isolated desert, a mother and young daughter are relentlessly pursued by a deadly snake",6,/xooRYiNbZtwNUdx0p60QvWxuxeD.jpg
257,Hacksaw Ridge,324786,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",8,/fTuxNlgEm04PPFkr1xfK94Jn8BW.jpg
262,The Virtuoso,808023,A lonesome stranger with nerves of steel must track down and kill a rogue hitman to satisfy an outstanding debt. But the only information he's been given is a time and location where to find his quarry. No name. No description. Nothing.,6,/vXHzO26mJaOt4VO7ZFiM6No5ScT.jpg
269,Sweet & Sour,662237,"Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",8,/3yGwAPl6LWpi8QwHjwCMaqsPgNB.jpg
273,Thor: Ragnarok,284053,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",7,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg
277,Universal Soldier: Regeneration,28510,"When terrorists threaten nuclear catastrophe at Chernobyl, the world's only hope is to reactivate decommissioned Universal Soldier Luc Deveraux. Rearmed and reprogrammed, Deveraux must take on his nemesis from the original Universal Soldier and a next-generation ""UniSol"" that seems almost unstoppable.",5,/kFDmVlJoa165FMlHpmnVLUeNSYc.jpg
284,The Town,23168,"Doug MacRay is a longtime thief, who, smarter than the rest of his crew, is looking for his chance to exit the game. When a bank job leads to the group kidnapping an attractive branch manager, he takes on the role of monitoring her – but their burgeoning relationship threatens to unveil the identities of Doug and his crew to the FBI Agent who is on their case.",7,/3NIzyXkfylsjflRKSz8Fts3lXzm.jpg
290,Seven Deadly Sins: Envy,820654,"Gabrielle seems to have it all - a devoted husband, a beautiful daughter, and a successful career in public relations. However, she soon stands to lose everything when she meets Keisha, her devious half sister who wants everything Gabrielle has.",6,/xyjvcrXDJOIgtJlNoPXVWFnZIlQ.jpg
292,Shrek,808,"It ain't easy bein' green -- especially if you're a likable (albeit smelly) ogre named Shrek. On a mission to retrieve a gorgeous princess from the clutches of a fire-breathing dragon, Shrek teams up with an unlikely compatriot -- a wisecracking donkey.",7,/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg
296,Rurouni Kenshin: The Final,602063,"In 1879, Kenshin and his allies face their strongest enemy yet: his former brother-in-law Enishi Yukishiro and his minions, who've vowed their revenge.",7,/7bbEASVf9XWtfxWiuWUMY3uyhTb.jpg
304,John Wick: Chapter 3 - Parabellum,458156,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",7,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg
276,The Wolf of Wall Street,106646,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",8,/pWHf4khOloNVfCxscsXFj3jj6gP.jpg
