id,title,external_id,overview,vote_average,poster_path
26,SAS: Red Notice,595743,"An off-duty SAS soldier, Tom Buckingham, must thwart a terror attack on a train running through the Channel Tunnel. As the action escalates on the train, events transpire in the corridors of power that may make the difference as to whether Buckingham and the civilian passengers make it out of the tunnel alive.",6,/6Y9fl8tD1xtyUrOHV2MkCYTpzgi.jpg
31,Kate,597891,"After she's irreversibly poisoned, a ruthless criminal operative has less than 24 hours to exact revenge on her enemies and in the process forms an unexpected bond with the daughter of one of her past victims.",6,/uJgdT1boTSP0dDIjdTgGleg71l4.jpg
33,Rogue Hostage,825997,A former Marine races against time to save a group of hostages -- including his young daughter and a congressman — when armed militants take over his stepfather's store.,6,/ePYagdzUwKpzTP73n9CD3D1MFn.jpg
45,García y García,774456,,3,/8V8ctsflyc03T0gN5Sr79rAbIof.jpg
48,The Tomorrow War,588228,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",8,/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg
53,Godzilla vs. Kong,399566,"In a time when monsters walk the Earth, humanity’s fight for its future sets Godzilla and Kong on a collision course that will see the two most powerful forces of nature on the planet collide in a spectacular battle for the ages.",7,/pgqgaUx1cJb5oZQQ5v0tNARCeBp.jpg
58,Malignant,619778,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities with a mysterious tie to her past.",7,/dGv2BWjzwAz6LB8a8JeRIZL8hSz.jpg
62,Avatar,19995,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg
69,Escape Room: Tournament of Champions,585216,"Six people unwittingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive as they discover all the games that they've played before.",7,/jGYJyPzVgrVV2bgClI9uvEZgVLE.jpg
72,Nightbooks,739990,"Alex, a boy obsessed with scary stories, is trapped by a witch in her modern, magical New York City apartment. His original hair-raising tales are the only thing keeping him safe as he desperately tries to find a way out of this twisted place.",6,/ysJte1iqN8pFQ470tumnViB1wHP.jpg
